country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density_(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy;;;;;;;;;;;;,cluster
China,2000.0,97.0218,42.0,58.78,29.63,1113.3,16.74,225.56,17.874004,9334.936,10.85,3346530.0,5.656925,8.490093406,959.3724836,153.0,9596960.0,35.86166,104.195397,CHN,1264099072.0,5952682590208.0,,,0.0,0.0,2.009,2.54,0.187,0.0,783.314,1.388,112.374,6495.856,8211.406,838.748,1060.26,3.713,294.467,6507.489,8226.111,78.213,69.587,1346.85,1065.462,1355.6,11.967,3.638,414.216,9334.936,1.982,3.091,332.351,880.706,1113.3,8769.296,11085.259,82.126,93.941,13.999,30.327,246.957,4.565,5.77,195.362,7.945,20.177,216.866,274.14,0.426,2.093,1061.86,13.14,76.379,657.664,175.943,222.41,520.263,16.407,5.573,12.938,81.865,715.025,191.678,242.3,565.64,17.874,6.059,-8.75,-0.65,11.961,5.073,47.491,13.243,16.74,37.569,1.235,0.402,7.781,189.651,2626.896,37.394,47.27,2078.077,1.498,27.912,1496.141,1891.271,3.487,22.261,8.06,2.537,,0.675,0.054,2.007,,6.376,0.187,,0.068,1072.384,11800.283,13.011,76.792,667.533,178.435,225.56,528.07,16.639,5.657,29.412,0.015,0.065,0.016,0.02,0.051,0.001,0.001,24.52,0.343,1.744,0.467,0.59,1.38,0.044,0.015;;;;;;;;;;;;,large_scale
China,2001.0,97.27279,42.3,61.01,28.36,1182.59,17.47,280.73,20.1379,9797.812,10.36,3529080.0,6.618624,8.335733478,1053.108243,153.0,9596960.0,35.86166,104.195397,CHN,1272739584.0,6329737412608.0,,0.0,0.0,0.0,2.004,2.55,0.172,0.0,762.735,5.168,424.348,6785.169,8635.754,887.173,1129.14,5.946,489.118,6847.614,8715.229,76.253,69.252,1472.19,1156.709,1480.79,12.45,5.676,669.779,9797.812,1.97,4.603,510.202,929.169,1182.59,9110.631,11595.461,79.862,92.986,11.945,29.5,276.458,3.874,4.93,217.215,11.504,31.536,240.171,305.676,0.333,2.217,1129.45,24.738,157.367,815.031,217.979,277.43,640.375,18.735,6.536,23.075,159.577,874.602,234.298,298.2,687.18,20.138,7.014,-8.6,-0.584,4.391,1.764,49.255,13.726,17.47,38.7,1.18,0.395,2.145,56.353,2683.249,38.122,48.52,2108.247,1.359,25.702,1506.178,1916.973,3.277,21.518,8.112,2.554,,0.67,0.052,2.007,,6.374,0.172,,0.065,1163.467,12470.062,24.462,157.813,825.347,220.571,280.73,648.48,18.958,6.619,40.909,0.026,0.091,0.024,0.03,0.072,0.002,0.001,21.918,0.369,2.113,0.566,0.72,1.66,0.049,0.017;;;;;;;;;;;;,large_scale
China,2002.0,97.516205,43.1,63.68,27.0,1337.46,25.13,291.41,19.137848,10602.087,10.12,3810060.059,6.2804885,9.13363079,1148.50829,153.0,9596960.0,35.86166,104.195397,CHN,1280926080.0,6814493573120.0,,1.715,1.339,1.715,1.991,2.55,0.154,0.013,773.163,9.631,831.703,7391.104,9467.457,1001.283,1282.57,6.794,592.092,7266.088,9307.321,77.543,69.714,1645.61,1284.703,1654.01,12.747,8.905,1110.428,10602.087,1.993,9.156,1061.729,1044.143,1337.47,9881.281,12657.19,80.862,93.201,6.394,17.678,294.136,3.271,4.19,229.627,7.689,23.503,256.985,329.179,0.253,2.166,1278.82,3.799,25.506,840.537,224.814,287.97,656.195,17.41,6.189,6.719,48.698,923.299,247.118,316.54,720.806,19.138,6.799,-8.4,-0.51,43.813,21.123,70.378,19.619,25.13,54.943,1.519,0.518,7.914,212.349,2895.598,39.589,50.71,2260.55,1.235,23.679,1515.038,1940.652,3.066,21.322,8.085,2.546,,-0.313,-0.028,1.988,,6.312,0.154,,0.06,1291.261,13580.49,4.411,27.574,852.921,227.499,291.41,665.863,17.618,6.28,54.839,0.049,0.14,0.039,0.05,0.109,0.003,0.001,16.433,0.331,2.444,0.656,0.84,1.908,0.051,0.018;;;;;;;;;;;;,large_scale
China,2003.0,97.75438,43.4,70.24,23.86,1579.96,43.34,287.28,17.304693,12273.32,10.48,4415910.156,5.3011093,10.03803048,1288.643252,153.0,9596960.0,35.86166,104.195397,CHN,1288873344.0,7248623435776.0,176.0,3.019,3.673,4.735,1.971,2.54,0.133,0.03,790.786,19.177,1815.602,8754.203,11283.059,1179.301,1519.97,18.125,1686.98,8530.165,10994.302,79.555,71.327,1903.22,1476.654,1910.58,12.574,16.481,2238.266,12273.32,2.182,17.4,2202.377,1225.846,1579.96,11529.113,14859.567,82.695,93.936,16.187,47.612,341.747,4.003,5.16,265.152,7.207,23.725,273.808,352.904,0.27,2.16,1510.86,-1.49,-17.83,822.707,220.099,283.68,638.315,14.848,5.201,5.376,35.889,959.188,256.519,330.62,744.207,17.305,6.064,-7.36,-0.387,72.492,50.24,120.618,33.626,43.34,93.584,2.268,0.763,11.713,339.164,3234.762,42.541,54.83,2509.76,1.629,31.622,1530.231,1972.274,2.87,20.449,8.051,2.536,,-0.393,-0.034,1.968,,6.246,0.133,,0.051,1482.364,15818.756,-0.377,-14.352,838.57,222.892,287.28,650.622,15.036,5.301,33.333,0.046,0.186,0.047,0.06,0.144,0.003,0.001,19.059,0.447,2.891,0.776,1.0,2.243,0.052,0.018;;;;;;;;;;;;,large_scale
China,2004.0,97.98967,44.9,77.85,20.17,1795.41,50.47,357.43,18.513056,14272.745,10.83,5124819.824,5.60094,10.11362138,1508.668098,153.0,9596960.0,35.86166,104.195397,CHN,1296816768.0,7830953263104.0,26.103,1.236,4.604,5.97,1.951,2.53,0.115,0.032,778.356,16.593,1872.222,10144.286,13155.28,1328.191,1722.42,17.095,1879.428,9927.177,12873.729,78.174,71.075,2197.23,1694.326,2203.31,12.415,17.008,2690.379,14272.745,2.364,16.645,2473.325,1384.475,1795.41,13365.722,17332.893,81.487,93.645,16.999,58.092,399.84,5.753,7.46,308.324,18.406,64.957,322.221,417.861,0.339,2.16,1714.96,24.628,196.083,1018.791,272.621,353.54,785.609,16.046,5.504,23.412,217.056,1176.244,314.539,407.9,907.024,18.513,6.355,-6.08,-0.277,16.444,18.939,139.558,38.918,50.47,107.616,2.291,0.754,16.787,543.01,3777.772,50.531,65.53,2913.112,2.633,51.939,1560.909,2024.213,2.974,20.41,8.023,2.528,,-0.315,-0.027,1.949,,6.187,0.115,,0.043,1699.014,18509.135,24.446,198.116,1036.686,275.621,357.43,799.408,16.222,5.601,18.75,0.033,0.219,0.062,0.08,0.169,0.004,0.001,28.166,0.791,3.682,0.987,1.28,2.839,0.058,0.02;;;;;;;;;;;;,large_scale
China,2005.0,98.22443,46.3,86.43,17.44,2042.8,53.09,404.37,18.296497,16114.158,10.72,5824629.883,5.554481,11.39459181,1753.417829,153.0,9596960.0,35.86166,104.195397,CHN,1304887552.0,8602939555840.0,40.28,2.405,6.418,8.375,4.077,5.32,0.213,0.04,781.931,17.102,2249.825,11805.695,15405.105,1517.487,1980.15,12.174,1567.26,11066.846,14440.989,79.198,73.263,2494.08,1911.337,2500.26,12.39,13.604,2518.029,16114.158,2.444,13.734,2380.451,1565.499,2042.8,15107.312,19713.344,81.703,93.752,17.485,69.911,469.751,9.303,12.14,359.994,18.958,79.218,380.937,497.08,0.486,2.234,1955.03,12.296,118.033,1136.824,304.256,397.02,871.204,15.879,5.406,12.557,137.577,1313.821,350.574,457.46,1006.846,18.296,6.248,-6.18,-0.248,5.189,6.313,145.871,40.685,53.09,111.788,2.123,0.694,1.607,60.715,3838.487,38.708,50.51,2941.623,4.195,84.921,1616.334,2109.134,2.02,18.255,16.938,5.322,,110.522,8.914,4.079,,12.98,0.213,,0.081,1916.073,21027.164,13.58,131.264,1167.95,309.889,404.37,895.058,16.173,5.554,10.526,0.022,0.241,0.061,0.08,0.184,0.003,0.001,52.3,1.89,5.572,1.494,1.95,4.27,0.078,0.027;;;;;;;;;;;;,large_scale
China,2006.0,98.46105,47.7,96.27,16.39,2364.16,54.84,446.72,17.50206,17552.816,10.41,6437470.215,5.5779824,12.72095567,2099.229435,153.0,9596960.0,35.86166,104.195397,CHN,1313086592.0,9489543593984.0,44.09,3.693,9.191,12.068,5.43,7.13,0.249,0.052,786.511,9.823,1513.275,12884.437,16918.381,1753.441,2302.42,6.984,1008.565,11765.831,15449.555,80.344,73.404,2858.84,2177.191,2865.72,12.951,9.612,2021.168,17552.789,2.429,9.636,1899.645,1800.46,2364.16,16459.682,21612.988,82.498,93.772,23.009,108.086,577.838,18.14,23.82,440.06,18.721,93.056,449.427,590.136,0.831,2.507,2253.92,9.765,103.164,1239.988,331.882,435.79,944.33,15.207,5.38,10.262,121.524,1435.345,381.97,501.56,1093.107,17.502,6.228,-6.88,-0.241,3.306,3.874,149.745,41.764,54.84,114.041,1.914,0.65,7.25,278.282,4116.769,28.879,37.92,3135.185,1.882,39.691,1636.469,2148.825,1.323,17.861,22.712,7.133,,34.029,5.774,5.432,,17.297,0.249,,0.099,2182.43,23048.332,11.157,117.65,1285.599,340.206,446.72,979.067,15.588,5.578,13.095,0.03,0.27,0.069,0.09,0.206,0.003,0.001,90.735,4.989,10.562,2.825,3.71,8.043,0.129,0.046;;;;;;;;;;;;,large_scale
China,2007.0,98.7022,49.4,109.0,14.88,2718.7,62.13,500.71,17.151705,18955.008,9.81,6993180.176,5.718535,14.23086093,2693.970063,153.0,9596960.0,35.86166,104.195397,CHN,1321513216.0,10358205972480.0,10.591,1.278,10.099,13.346,7.461,9.86,0.3,0.053,785.125,8.899,1505.531,13941.527,18423.912,2010.347,2656.7,8.345,1289.311,12666.438,16738.865,80.959,73.55,3271.23,2475.367,3281.54,13.659,8.683,2001.244,18955.223,2.418,8.492,1835.271,2057.263,2718.7,17743.492,23448.26,82.848,93.607,23.007,132.941,710.779,25.66,33.91,537.852,18.252,107.711,528.066,697.847,1.033,2.837,2576.42,11.354,132.155,1372.143,367.2,485.26,1038.312,14.788,5.478,12.18,165.971,1601.316,425.906,562.84,1211.729,17.152,6.393,-10.31,-0.315,13.287,18.836,168.582,47.014,62.13,127.567,1.893,0.673,4.78,196.798,4313.567,21.256,28.09,3264.112,0.84,18.056,1639.697,2166.881,0.856,17.22,31.429,9.863,,38.273,8.717,7.463,,23.783,0.301,,0.125,2483.168,25049.576,12.047,147.134,1432.734,378.891,500.71,1084.161,15.258,5.72,20.0,0.052,0.322,0.083,0.11,0.244,0.003,0.001,47.617,4.932,15.493,4.147,5.48,11.724,0.167,0.062;;;;;;;;;;;;,large_scale
China,2008.0,98.95058,51.1,128.8,14.14,2762.29,68.39,665.08,20.981703,19560.7,9.18,7199600.098,7.268667,9.65067892,3468.304602,153.0,9596960.0,35.86166,104.195397,CHN,1330167168.0,10799147909120.0,36.213,4.833,13.667,18.179,11.179,14.87,0.425,0.07,746.948,1.585,292.008,14070.352,18715.92,2036.518,2708.91,3.647,610.416,13042.933,17349.281,77.491,71.928,3482.96,2618.438,3495.76,14.156,3.876,970.887,19561.799,2.409,2.111,495.08,2076.649,2762.29,18000.248,23943.34,79.018,92.017,15.272,108.55,819.329,25.989,34.57,615.959,15.973,111.47,608.432,809.317,0.989,3.149,2611.15,31.261,417.752,1789.895,478.857,636.96,1345.616,18.221,6.879,30.451,475.807,2077.122,551.412,733.47,1561.55,20.982,7.983,-12.8,-0.368,10.082,15.844,184.426,51.415,68.39,138.649,1.956,0.709,2.191,94.524,4408.092,14.141,18.81,3313.938,2.212,47.932,1665.063,2214.813,0.538,16.941,47.384,14.866,,50.725,15.955,11.176,,35.623,0.425,,0.182,2628.061,26020.463,32.912,459.963,1892.696,499.997,665.08,1422.901,19.025,7.274,33.333,0.105,0.427,0.113,0.15,0.321,0.004,0.002,139.082,21.318,36.812,9.848,13.1,27.675,0.375,0.141;;;;;;;;;;;;,large_scale
China,2009.0,99.2089,53.5,150.78,13.43,2980.2,70.05,664.39,19.7715,20281.068,8.95,7719069.824,6.9355316,9.398725632,3832.236432,153.0,9596960.0,35.86166,104.195397,CHN,1339125632.0,11572544012288.0,9.404,1.71,14.852,19.889,15.577,20.86,0.562,0.073,753.029,4.751,889.1,14640.164,19605.02,2174.195,2911.52,3.09,536.07,13355.992,17885.352,78.38,72.186,3703.26,2765.431,3714.64,14.374,4.375,1138.436,20281.068,2.347,4.779,1144.219,2225.482,2980.2,18734.283,25087.559,80.229,92.373,10.119,82.911,902.24,42.237,56.56,673.753,6.188,50.081,641.76,859.398,1.523,3.322,2797.23,-3.347,-70.578,1719.316,459.733,615.64,1283.91,16.573,6.331,0.357,-5.782,2071.34,548.447,734.44,1546.786,19.771,7.627,-11.38,-0.307,2.422,3.3,187.726,52.31,70.05,140.186,1.886,0.691,3.907,172.207,4580.298,9.051,12.12,3420.365,-0.499,-11.044,1645.677,2203.769,0.326,16.865,66.509,20.859,,40.316,19.125,15.577,,49.666,0.562,,0.245,2773.929,27158.898,0.151,-9.082,1883.614,496.137,664.39,1406.6,17.886,6.936,83.553,0.352,0.779,0.209,0.28,0.582,0.008,0.003,110.802,40.309,77.121,20.618,27.61,57.59,0.743,0.284;;;;;;;;;;;;,large_scale
China,2010.0,99.7,55.6,170.41,12.26,3326.19,74.74,786.38,20.564993,21551.547,8.93,8474919.922,7.615998,10.63587106,4550.453108,153.0,9596960.0,35.86166,104.195397,CHN,1348191360.0,12858808074240.0,-0.463,-0.092,14.684,19.797,18.469,24.9,0.592,0.068,740.64,3.752,735.521,15087.28,20340.541,2398.473,3233.6,8.286,1481.898,14365.356,19367.25,76.859,70.006,4193.65,3110.575,4207.16,15.285,6.984,1896.711,21551.547,2.26,6.203,1556.213,2481.873,3346.04,19762.604,26643.771,79.532,91.699,20.671,186.5,1088.74,57.655,77.73,807.556,12.34,106.048,716.104,965.445,1.848,3.747,3115.99,15.551,255.184,1974.5,527.655,711.38,1464.555,16.909,6.796,16.781,340.496,2411.836,638.722,861.12,1788.942,20.468,8.301,-13.51,-0.322,6.698,11.344,199.071,55.437,74.74,147.658,1.776,0.685,13.846,634.192,5214.49,25.746,34.71,3867.767,7.137,157.284,1751.274,2361.053,0.825,17.947,79.411,24.9,,19.372,12.902,18.469,,58.902,0.592,,0.273,3120.596,29055.609,17.813,329.152,2212.766,583.285,786.38,1641.285,18.691,7.616,151.254,1.167,1.946,0.519,0.7,1.443,0.017,0.007,78.887,59.992,137.113,36.642,49.4,101.701,1.174,0.472;;;;;;;;;;;;,large_scale
China,2011.0,99.848724,58.0,194.62,11.34,3811.77,87.2,792.38,18.748974,23090.885,8.75,9282549.805,7.084204,9.550832179,5614.352135,153.0,9596960.0,35.86166,104.195397,CHN,1357095424.0,13691527364608.0,10.629,2.104,16.138,21.901,20.36,27.63,0.586,0.07,752.231,8.864,1803.062,16316.91,22143.604,2719.684,3690.87,11.193,2167.818,15868.5,21535.068,78.312,70.664,4700.28,3463.485,4713.02,15.822,7.85,2280.926,23090.885,2.289,8.415,2242.193,2824.739,3833.44,21285.139,28885.965,81.337,92.18,24.146,262.888,1351.629,80.149,108.77,995.972,9.965,96.211,782.3,1061.656,2.308,4.313,3545.28,-3.281,-76.422,1898.078,506.995,688.04,1398.633,14.599,6.057,2.335,38.734,2450.57,648.134,879.58,1805.746,18.663,7.82,-12.74,-0.271,16.668,31.765,230.835,64.255,87.2,170.095,1.85,0.737,3.38,176.243,5390.733,24.906,33.8,3972.258,-0.068,-1.611,1738.597,2359.442,0.717,17.203,88.139,27.632,,10.971,8.728,20.361,,64.947,0.586,,0.281,3472.873,31336.535,1.006,6.969,2219.735,583.879,792.38,1635.651,16.813,7.084,272.325,5.254,7.2,1.923,2.61,5.306,0.055,0.023,50.001,67.304,204.416,54.602,74.1,150.628,1.572,0.652;;;;;;;;;;;;,large_scale
